,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,haines junction,60.75,-137.51,43.11,74,88,12.95,CA,1601315378
116,santiago,-33.46,-70.65,77.0,21,40,2.24,CL,1601315378
117,kodiak,57.79,-152.41,46.4,87,90,6.93,US,1601315172
118,melo,-32.37,-54.18,64.58,60,0,15.17,UY,1601315378
119,hamilton,39.18,-84.53,73.99,78,90,5.82,US,1601315238
120,yellowknife,62.46,-114.35,48.2,93,40,9.17,CA,1601315122
121,svetlogorsk,52.63,29.73,52.61,68,52,5.61,BY,1601315379
122,kalaleh,37.38,55.49,66.2,72,40,9.17,IR,1601315379
123,pisco,-13.7,-76.22,64.99,82,90,8.05,PE,1601315379
124,cururupu,-1.83,-44.87,87.28,57,66,7.99,BR,1601315379
125,shelburne,44.08,-80.2,79.0,61,75,19.46,CA,1601315163
126,bethel,41.37,-73.41,75.0,73,75,12.75,US,1601315146
127,pindiga,9.98,10.93,73.11,89,96,4.7,NG,1601315380
128,rock springs,41.59,-109.2,46.4,31,1,4.7,US,1601315380
129,westport,41.14,-73.36,78.01,73,1,11.41,US,1601315107
130,kanniyakumari,8.08,77.57,80.29,82,94,17.43,IN,1601315381
131,guerrero negro,27.98,-114.06,82.4,45,0,10.6,MX,1601315133
132,touros,-5.2,-35.46,84.2,66,40,16.11,BR,1601315241
133,hervey bay,-25.3,152.85,60.01,81,3,3.0,AU,1601315381
134,butembo,0.15,29.28,59.22,100,100,0.94,CD,1601315381
135,provideniya,64.38,-173.3,31.86,90,14,5.3,RU,1601315382
136,carnarvon,-24.87,113.63,66.2,82,0,12.75,AU,1601315382
137,mayya,61.73,130.28,37.4,82,40,6.71,RU,1601315382
138,saint-pierre,-21.34,55.48,71.6,78,40,3.36,RE,1601315382
139,noyabrsk,63.2,75.45,35.98,84,42,8.52,RU,1601315382
140,lavrentiya,65.58,-171.0,31.77,92,4,5.93,RU,1601315383
141,kavieng,-2.57,150.8,81.27,73,92,5.64,PG,1601315383
142,gusau,12.16,6.66,84.56,55,48,6.15,NG,1601315383
143,faanui,-16.48,-151.75,77.92,81,7,18.54,PF,1601315383
144,guangzhou,23.12,113.25,79.0,83,75,4.47,CN,1601315161
145,isangel,-19.55,169.27,72.07,82,2,6.78,VU,1601315384
146,sola,-13.88,167.55,79.11,81,41,16.22,VU,1601315384
147,hirara,24.8,125.28,78.67,80,58,16.55,JP,1601315384
148,russell,32.35,-85.2,84.2,58,20,5.82,US,1601315107
149,tautira,-17.73,-149.15,77.0,83,40,4.7,PF,1601315385
150,pavlodar,52.3,76.95,41.0,86,89,6.71,KZ,1601315186
151,casper,42.87,-106.31,54.0,30,1,13.87,US,1601315285
152,vardo,70.37,31.11,48.2,93,75,14.99,NO,1601315385
153,camopi,3.17,-52.32,97.27,29,10,6.38,GF,1601315385
154,benton harbor,42.12,-86.45,57.99,82,90,11.41,US,1601315385
155,muros,42.78,-9.06,64.99,73,100,10.0,ES,1601315386
156,roald,62.58,6.13,55.4,76,40,2.24,NO,1601315386
157,cayenne,4.93,-52.33,89.6,62,20,14.99,GF,1601315208
158,sao filipe,14.9,-24.5,81.16,79,45,10.22,CV,1601315386
159,esperance,-33.87,121.9,51.8,100,75,4.7,AU,1601315248
160,bokoro,12.38,17.06,86.88,51,50,5.06,TD,1601315386
161,sturgis,41.8,-85.42,55.4,93,90,9.17,US,1601315387
162,kushima,31.46,131.23,65.37,80,98,5.17,JP,1601315387
163,imeni poliny osipenko,52.42,136.49,41.99,81,6,3.71,RU,1601315387
164,pangnirtung,66.15,-65.71,33.8,80,75,12.75,CA,1601315387
165,santo antonio do ica,-3.1,-67.94,91.11,51,61,3.56,BR,1601315387
166,sur,22.57,59.53,83.73,59,0,9.33,OM,1601315134
167,zhigansk,66.77,123.37,34.16,88,74,9.46,RU,1601315388
168,tessalit,20.2,1.01,94.87,10,26,1.12,ML,1601315388
169,airai,-8.93,125.41,59.14,77,18,2.91,TL,1601315388
170,clawson,42.53,-83.15,64.4,88,90,5.82,US,1601315106
171,alugan,12.22,125.48,77.99,87,2,3.89,PH,1601315388
172,mizan teferi,6.98,35.58,63.52,91,98,3.02,ET,1601315388
173,tura,25.52,90.22,74.01,94,20,2.21,IN,1601315389
174,kavaratti,10.57,72.64,81.34,78,81,8.95,IN,1601315389
175,chicama,-7.84,-79.15,73.8,53,30,11.21,PE,1601315259
176,dunedin,-45.87,170.5,36.0,73,44,3.0,NZ,1601315389
177,victoria,22.29,114.16,81.0,88,96,1.01,HK,1601315187
178,yekaterinogradskaya,43.76,44.23,62.6,77,90,12.62,RU,1601315389
179,quepos,9.42,-84.17,82.4,57,40,12.75,CR,1601315389
180,saint anthony,45.02,-93.22,55.99,62,90,13.87,US,1601315390
181,port lincoln,-34.73,135.87,60.28,43,100,13.15,AU,1601315182
182,scottsbluff,41.87,-103.67,57.2,35,20,14.99,US,1601315390
183,ucluelet,48.93,-125.55,63.0,87,90,3.13,CA,1601315375
184,salym,60.06,71.48,37.62,86,13,5.79,RU,1601315390
185,kiama,-34.68,150.87,55.99,84,71,3.13,AU,1601315390
186,vallenar,-28.57,-70.76,76.05,23,0,15.3,CL,1601315390
187,baft,29.23,56.61,64.15,38,89,9.26,IR,1601315391
188,pimentel,-6.84,-79.93,71.6,60,69,11.41,PE,1601315156
189,hobart,-42.88,147.33,46.99,81,90,1.12,AU,1601315095
190,olafsvik,64.89,-23.71,39.67,91,98,12.44,IS,1601315391
191,mulanur,10.77,77.72,78.04,70,49,17.38,IN,1601315391
192,tiznit,29.58,-9.5,76.3,43,7,6.15,MA,1601315391
193,rutland,43.62,-73.02,73.99,69,90,10.29,US,1601315391
